2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 20
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 23
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 10
2022-07-04 03:35:24 INFO  Executor:54 - Finished task 3.0 in stage 1.0 (TID 4). 1625 bytes result sent to driver
2022-07-04 03:35:24 INFO  TaskSetManager:54 - Finished task 3.0 in stage 1.0 (TID 4) in 639 ms on localhost (executor driver) (1/4)
2022-07-04 03:35:24 INFO  Executor:54 - Finished task 2.0 in stage 1.0 (TID 3). 1582 bytes result sent to driver
2022-07-04 03:35:24 INFO  TaskSetManager:54 - Finished task 2.0 in stage 1.0 (TID 3) in 708 ms on localhost (executor driver) (2/4)
2022-07-04 03:35:25 INFO  Executor:54 - Finished task 1.0 in stage 1.0 (TID 2). 1582 bytes result sent to driver
2022-07-04 03:35:25 INFO  Executor:54 - Finished task 0.0 in stage 1.0 (TID 1). 1582 bytes result sent to driver
2022-07-04 03:35:25 INFO  TaskSetManager:54 - Finished task 1.0 in stage 1.0 (TID 2) in 1034 ms on localhost (executor driver) (3/4)
2022-07-04 03:35:25 INFO  TaskSetManager:54 - Finished task 0.0 in stage 1.0 (TID 1) in 1035 ms on localhost (executor driver) (4/4)
2022-07-04 03:35:25 INFO  TaskSchedulerImpl:54 - Removed TaskSet 1.0, whose tasks have all completed, from pool 
2022-07-04 03:35:25 INFO  DAGScheduler:54 - ResultStage 1 (load at NativeMethodAccessorImpl.java:0) finished in 1.066 s
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Job 1 finished: load at NativeMethodAccessorImpl.java:0, took 1.073022 s
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 52
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 42
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 50
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 44
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 39
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 51
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 57
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 37
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 59
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 48
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 56
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 41
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 61
2022-07-04 03:35:25 INFO  BlockManagerInfo:54 - Removed broadcast_3_piece0 on 192.168.1.10:37137 in memory (size: 7.2 KB, free: 366.3 MB)
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 49
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 43
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 45
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 38
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 54
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 58
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 60
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 40
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 53
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 55
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 46
2022-07-04 03:35:25 INFO  ContextCleaner:54 - Cleaned accumulator 47
2022-07-04 03:35:25 INFO  FileSourceStrategy:54 - Pruning directories with: 
2022-07-04 03:35:25 INFO  FileSourceStrategy:54 - Post-Scan Filters: (length(trim(value#20, None)) > 0)
2022-07-04 03:35:25 INFO  FileSourceStrategy:54 - Output Data Schema: struct<value: string>
2022-07-04 03:35:25 INFO  FileSourceScanExec:54 - Pushed Filters: 
2022-07-04 03:35:25 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 283.7 KB, free 365.4 MB)
2022-07-04 03:35:25 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 23.3 KB, free 365.4 MB)
2022-07-04 03:35:25 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on 192.168.1.10:37137 (size: 23.3 KB, free: 366.2 MB)
